,subcategory_id,subcategory_name,category_id,category_name,source,visits
0,cf2e61c7af,Мобильные телефоны,09f279a643,Электроника,direct,501165
1,cf2e61c7af,Мобильные телефоны,09f279a643,Электроника,organic,1163658
2,0cd903d1cc,Ноутбуки,3509869a61,Компьютерная техника,direct,126342
3,0cd903d1cc,Ноутбуки,3509869a61,Компьютерная техника,organic,280406
4,ef35bc88a7,Телевизоры,09f279a643,Электроника,direct,95626
5,ef35bc88a7,Телевизоры,09f279a643,Электроника,organic,262485
6,6ff9f4014c,Планшеты,3509869a61,Компьютерная техника,direct,75680
7,6ff9f4014c,Планшеты,3509869a61,Компьютерная техника,organic,185584
8,72bc238e4d,Наушники и Bluetooth-гарнитуры,09f279a643,Электроника,direct,64435
9,72bc238e4d,Наушники и Bluetooth-гарнитуры,09f279a643,Электроника,organic,156417
10,88c78ea685,Шины,65922fa39c,Авто,direct,39638
11,88c78ea685,Шины,65922fa39c,Авто,organic,153859
12,179bfacf4a,Умные часы и браслеты,09f279a643,Электроника,direct,31007
13,179bfacf4a,Умные часы и браслеты,09f279a643,Электроника,organic,74524
14,b0fb8f259a,Мониторы,3509869a61,Компьютерная техника,direct,30324
15,b0fb8f259a,Мониторы,3509869a61,Компьютерная техника,organic,73244
16,3c67eb2d90,Наручные часы,6074ad29ac,"Одежда, обувь и аксессуары",direct,25878
17,3c67eb2d90,Наручные часы,6074ad29ac,"Одежда, обувь и аксессуары",organic,69612
18,24e6c815c6,Лекарственные препараты и БАДы,10a493e03b,Товары для здоровья,direct,25276
19,24e6c815c6,Лекарственные препараты и БАДы,10a493e03b,Товары для здоровья,organic,68601
20,00fd6e5a87,Стиральные машины,5a0d8ac946,Бытовая техника,direct,22064
21,00fd6e5a87,Стиральные машины,5a0d8ac946,Бытовая техника,organic,64570
22,29c9b62225,Холодильники,5a0d8ac946,Бытовая техника,direct,20920
23,29c9b62225,Холодильники,5a0d8ac946,Бытовая техника,organic,57985
24,3cc6f62679,Видеокарты,3509869a61,Компьютерная техника,direct,20886
25,3cc6f62679,Видеокарты,3509869a61,Компьютерная техника,organic,55130
26,c4412ce45c,Принтеры и МФУ,3509869a61,Компьютерная техника,direct,19614
27,c4412ce45c,Принтеры и МФУ,3509869a61,Компьютерная техника,organic,53339
28,4a57f562b8,Коляски,7dbac4c1a3,Детские товары,direct,18079
29,4a57f562b8,Коляски,7dbac4c1a3,Детские товары,organic,52005
30,63d35150a7,Оборудование Wi-Fi и Bluetooth,3509869a61,Компьютерная техника,direct,17616
31,63d35150a7,Оборудование Wi-Fi и Bluetooth,3509869a61,Компьютерная техника,organic,48400
32,fdabd3c725,Пылесосы,5a0d8ac946,Бытовая техника,direct,17167
33,fdabd3c725,Пылесосы,5a0d8ac946,Бытовая техника,organic,46361
34,08593bd62f,Велосипеды,ae99947659,Спорт и отдых,direct,16009
35,08593bd62f,Велосипеды,ae99947659,Спорт и отдых,organic,46087
36,5835164e67,Внутренние жесткие диски,3509869a61,Компьютерная техника,direct,15377
37,5835164e67,Внутренние жесткие диски,3509869a61,Компьютерная техника,organic,40043
38,5c5c31b04a,Материнские платы,3509869a61,Компьютерная техника,direct,15315
39,5c5c31b04a,Материнские платы,3509869a61,Компьютерная техника,organic,39771
40,d891b3c5d5,Видеорегистраторы,65922fa39c,Авто,direct,15167
41,d891b3c5d5,Видеорегистраторы,65922fa39c,Авто,organic,38884
42,ffa1fc88a2,Фотоаппараты,09f279a643,Электроника,direct,14776
43,ffa1fc88a2,Фотоаппараты,09f279a643,Электроника,organic,37195
44,8f30c6ac97,Кофеварки и кофемашины,5a0d8ac946,Бытовая техника,direct,13836
45,8f30c6ac97,Кофеварки и кофемашины,5a0d8ac946,Бытовая техника,organic,36426
46,eb317da761,Парфюмерия,655ccc3c49,Товары для красоты,direct,13778
47,eb317da761,Парфюмерия,655ccc3c49,Товары для красоты,organic,31571
48,01f8276040,Процессоры (CPU),3509869a61,Компьютерная техника,direct,12509
49,01f8276040,Процессоры (CPU),3509869a61,Компьютерная техника,organic,31392
50,18436f1c4c,Варочные панели,5a0d8ac946,Бытовая техника,direct,12497
51,18436f1c4c,Варочные панели,5a0d8ac946,Бытовая техника,organic,30602
52,389068f27f,Плиты,5a0d8ac946,Бытовая техника,direct,12274
53,389068f27f,Плиты,5a0d8ac946,Бытовая техника,organic,28394
54,79164a43ea,Колесные диски,65922fa39c,Авто,direct,11141
55,79164a43ea,Колесные диски,65922fa39c,Авто,organic,28262
56,367be1ab13,Портативная акустика,09f279a643,Электроника,direct,10552
57,367be1ab13,Портативная акустика,09f279a643,Электроника,organic,28031
58,a659a61627,Духовые шкафы,5a0d8ac946,Бытовая техника,direct,10517
59,a659a61627,Духовые шкафы,5a0d8ac946,Бытовая техника,organic,27433
60,6e76227536,Микроволновые печи,5a0d8ac946,Бытовая техника,direct,10440
61,6e76227536,Микроволновые печи,5a0d8ac946,Бытовая техника,organic,27426
62,9fcd5b4da1,Очистители и увлажнители воздуха,5a0d8ac946,Бытовая техника,direct,10338
63,9fcd5b4da1,Очистители и увлажнители воздуха,5a0d8ac946,Бытовая техника,organic,26468
64,2298383fb9,Конструкторы,7dbac4c1a3,Детские товары,direct,10271
65,2298383fb9,Конструкторы,7dbac4c1a3,Детские товары,organic,24023
66,defb7d72ad,Корпуса,3509869a61,Компьютерная техника,direct,10252
67,defb7d72ad,Корпуса,3509869a61,Компьютерная техника,organic,23832
68,ef9147dd31,Электрочайники и термопоты,5a0d8ac946,Бытовая техника,direct,10132
69,ef9147dd31,Электрочайники и термопоты,5a0d8ac946,Бытовая техника,organic,23709
70,fa2adaf808,Посудомоечные машины,5a0d8ac946,Бытовая техника,direct,9902
71,fa2adaf808,Посудомоечные машины,5a0d8ac946,Бытовая техника,organic,23523
72,3a1c1d9d93,Куклы и пупсы,7dbac4c1a3,Детские товары,direct,9532
73,3a1c1d9d93,Куклы и пупсы,7dbac4c1a3,Детские товары,organic,22811
74,491efc79fe,Модули памяти,3509869a61,Компьютерная техника,direct,9377
75,491efc79fe,Модули памяти,3509869a61,Компьютерная техника,organic,21954
76,686530e576,Самокаты,ae99947659,Спорт и отдых,direct,9121
77,686530e576,Самокаты,ae99947659,Спорт и отдых,organic,21916
78,1daba56cfb,Роботы-пылесосы,5a0d8ac946,Бытовая техника,direct,9083
79,1daba56cfb,Роботы-пылесосы,5a0d8ac946,Бытовая техника,organic,21421
80,f71f65d4a0,Водонагреватели,5a0d8ac946,Бытовая техника,direct,8840
81,f71f65d4a0,Водонагреватели,5a0d8ac946,Бытовая техника,organic,20482
82,982e97b853,Кондиционеры,5a0d8ac946,Бытовая техника,direct,8603
83,982e97b853,Кондиционеры,5a0d8ac946,Бытовая техника,organic,20454
84,243461c0d7,Вытяжки,5a0d8ac946,Бытовая техника,direct,8449
85,243461c0d7,Вытяжки,5a0d8ac946,Бытовая техника,organic,19895
86,b15460317a,Шуруповерты,394f20d8fa,Строительство и ремонт,direct,8445
87,b15460317a,Шуруповерты,394f20d8fa,Строительство и ремонт,organic,19872
88,93462e5a22,Блендеры,5a0d8ac946,Бытовая техника,direct,8397
89,93462e5a22,Блендеры,5a0d8ac946,Бытовая техника,organic,19162
90,6733b69039,Автомагнитолы,65922fa39c,Авто,direct,7783
91,6733b69039,Автомагнитолы,65922fa39c,Авто,organic,18690
92,d7c95fcff5,Мыши,3509869a61,Компьютерная техника,direct,7702
93,d7c95fcff5,Мыши,3509869a61,Компьютерная техника,organic,18578
94,306d06b2be,Игровые приставки,09f279a643,Электроника,direct,7516
95,306d06b2be,Игровые приставки,09f279a643,Электроника,organic,18368
96,eac321b7e4,Вертикальные пылесосы,5a0d8ac946,Бытовая техника,direct,7484
97,eac321b7e4,Вертикальные пылесосы,5a0d8ac946,Бытовая техника,organic,18321
98,0386591df8,Моторные масла,65922fa39c,Авто,direct,7343
99,0386591df8,Моторные масла,65922fa39c,Авто,organic,18303
100,ecbc481196,Мультиварки,5a0d8ac946,Бытовая техника,direct,7296
101,ecbc481196,Мультиварки,5a0d8ac946,Бытовая техника,organic,18158
102,55b273216e,Кулеры и системы охлаждения,3509869a61,Компьютерная техника,direct,7055
103,55b273216e,Кулеры и системы охлаждения,3509869a61,Компьютерная техника,organic,18129
104,8327ffc6de,Объективы,09f279a643,Электроника,direct,6933
105,8327ffc6de,Объективы,09f279a643,Электроника,organic,17926
106,4724731825,Смесители,394f20d8fa,Строительство и ремонт,direct,6633
107,4724731825,Смесители,394f20d8fa,Строительство и ремонт,organic,17725
108,3a128763c7,Отопительные котлы,394f20d8fa,Строительство и ремонт,direct,6533
109,3a128763c7,Отопительные котлы,394f20d8fa,Строительство и ремонт,organic,17665
110,f8470c25b0,Наборы инструментов и оснастки,394f20d8fa,Строительство и ремонт,direct,6468
111,f8470c25b0,Наборы инструментов и оснастки,394f20d8fa,Строительство и ремонт,organic,17455
112,a56b5d7c39,TV-тюнеры,09f279a643,Электроника,direct,6275
113,a56b5d7c39,TV-тюнеры,09f279a643,Электроника,organic,17427
114,012c162f00,Клавиатуры,3509869a61,Компьютерная техника,direct,6224
115,012c162f00,Клавиатуры,3509869a61,Компьютерная техника,organic,17417
116,c3f6168434,Компьютерные кресла,dafb4d11f4,Товары для дома,direct,6208
117,c3f6168434,Компьютерные кресла,dafb4d11f4,Товары для дома,organic,17407
118,8deabc366d,Сварочные аппараты,394f20d8fa,Строительство и ремонт,direct,6175
119,8deabc366d,Сварочные аппараты,394f20d8fa,Строительство и ремонт,organic,17325
120,48b2baf4d6,Универсальные внешние аккумуляторы,09f279a643,Электроника,direct,6146
121,48b2baf4d6,Универсальные внешние аккумуляторы,09f279a643,Электроника,organic,17115
122,9d2ff14868,Внутренние твердотельные накопители (SSD),3509869a61,Компьютерная техника,direct,6086
123,9d2ff14868,Внутренние твердотельные накопители (SSD),3509869a61,Компьютерная техника,organic,16171
124,9d6e430420,Акустические системы,09f279a643,Электроника,direct,6008
125,9d6e430420,Акустические системы,09f279a643,Электроника,organic,16004
126,41b094775c,Автоакустика,65922fa39c,Авто,direct,5915
127,41b094775c,Автоакустика,65922fa39c,Авто,organic,15433
128,a7aa6eee66,Машинки для стрижки,5a0d8ac946,Бытовая техника,direct,5852
129,a7aa6eee66,Машинки для стрижки,5a0d8ac946,Бытовая техника,organic,15246
130,ddacc21158,Блоки питания,3509869a61,Компьютерная техника,direct,5821
131,ddacc21158,Блоки питания,3509869a61,Компьютерная техника,organic,14881
132,63aca7789e,Автокресла,7dbac4c1a3,Детские товары,direct,5806
133,63aca7789e,Автокресла,7dbac4c1a3,Детские товары,organic,14748
134,d3d8f28b19,Фены и фен-щётки,5a0d8ac946,Бытовая техника,direct,5729
135,d3d8f28b19,Фены и фен-щётки,5a0d8ac946,Бытовая техника,organic,14488
136,c928d71a8a,Водяные насосы,394f20d8fa,Строительство и ремонт,direct,5675
137,c928d71a8a,Водяные насосы,394f20d8fa,Строительство и ремонт,organic,14387
138,ed6f1acf48,Швейные машины,5a0d8ac946,Бытовая техника,direct,5520
139,ed6f1acf48,Швейные машины,5a0d8ac946,Бытовая техника,organic,14153
140,4e1dec4e7d,Ванны,394f20d8fa,Строительство и ремонт,direct,5421
141,4e1dec4e7d,Ванны,394f20d8fa,Строительство и ремонт,organic,14152
142,4fcbe766e1,Мотоблоки и культиваторы,bfd01f6342,"Дача, сад и огород",direct,5389
143,4fcbe766e1,Мотоблоки и культиваторы,bfd01f6342,"Дача, сад и огород",organic,13211
144,bfb5141f68,Компьютерные гарнитуры,3509869a61,Компьютерная техника,direct,5348
145,bfb5141f68,Компьютерные гарнитуры,3509869a61,Компьютерная техника,organic,13027
146,92b821ce34,Электрические грили и шашлычницы,5a0d8ac946,Бытовая техника,direct,5287
147,92b821ce34,Электрические грили и шашлычницы,5a0d8ac946,Бытовая техника,organic,12865
148,aebee285e0,Электромобили,7dbac4c1a3,Детские товары,direct,5244
149,aebee285e0,Электромобили,7dbac4c1a3,Детские товары,organic,12708
150,7e4fd06cd0,Кроссовки и кеды,6074ad29ac,"Одежда, обувь и аксессуары",direct,5123
151,7e4fd06cd0,Кроссовки и кеды,6074ad29ac,"Одежда, обувь и аксессуары",organic,12512
152,54546a9bde,Игры для приставок и ПК,09f279a643,Электроника,direct,4973
153,54546a9bde,Игры для приставок и ПК,09f279a643,Электроника,organic,12399
154,b6ede96b32,Мясорубки,5a0d8ac946,Бытовая техника,direct,4911
155,b6ede96b32,Мясорубки,5a0d8ac946,Бытовая техника,organic,12395
156,20b2b24f79,Экшн-камеры,09f279a643,Электроника,direct,4757
157,20b2b24f79,Экшн-камеры,09f279a643,Электроника,organic,12376
158,d41b716e49,Стационарные медиаплееры,09f279a643,Электроника,direct,4724
159,d41b716e49,Стационарные медиаплееры,09f279a643,Электроника,organic,12226
160,b454bb1318,"Унитазы, писсуары, биде",394f20d8fa,Строительство и ремонт,direct,4723
161,b454bb1318,"Унитазы, писсуары, биде",394f20d8fa,Строительство и ремонт,organic,12173
162,e9307d2b98,Компьютерная акустика,3509869a61,Компьютерная техника,direct,4707
163,e9307d2b98,Компьютерная акустика,3509869a61,Компьютерная техника,organic,11945
164,05612bfa33,Маски и сыворотки,655ccc3c49,Товары для красоты,direct,4653
165,05612bfa33,Маски и сыворотки,655ccc3c49,Товары для красоты,organic,11801
166,f217f6f8de,Кухонные комбайны и измельчители,5a0d8ac946,Бытовая техника,direct,4631
167,f217f6f8de,Кухонные комбайны и измельчители,5a0d8ac946,Бытовая техника,organic,11762
168,d855fec9dc,Чехлы,09f279a643,Электроника,direct,4582
169,d855fec9dc,Чехлы,09f279a643,Электроника,organic,11758
170,f859d99cb2,"Рули, джойстики, геймпады",3509869a61,Компьютерная техника,direct,4579
171,f859d99cb2,"Рули, джойстики, геймпады",3509869a61,Компьютерная техника,organic,11673
172,a6b5acf4b5,Утюги,5a0d8ac946,Бытовая техника,direct,4576
173,a6b5acf4b5,Утюги,5a0d8ac946,Бытовая техника,organic,11468
174,1649d28bb1,Палатки,ae99947659,Спорт и отдых,direct,4576
175,1649d28bb1,Палатки,ae99947659,Спорт и отдых,organic,11416
176,3ac6a84e6d,Мультимедиа-проекторы,3509869a61,Компьютерная техника,direct,4561
177,3ac6a84e6d,Мультимедиа-проекторы,3509869a61,Компьютерная техника,organic,11400
178,d11d32bdb8,Электронные книги,09f279a643,Электроника,direct,4515
179,d11d32bdb8,Электронные книги,09f279a643,Электроника,organic,11364
180,0818af3db7,"Щипцы, плойки и выпрямители",5a0d8ac946,Бытовая техника,direct,4485
181,0818af3db7,"Щипцы, плойки и выпрямители",5a0d8ac946,Бытовая техника,organic,11306
182,07b6afbe9b,Карты памяти,3509869a61,Компьютерная техника,direct,4427
183,07b6afbe9b,Карты памяти,3509869a61,Компьютерная техника,organic,10978
184,cdacbdc0be,Синтезаторы и MIDI-клавиатуры,4f25bc6081,Досуг и развлечения,direct,4391
185,cdacbdc0be,Синтезаторы и MIDI-клавиатуры,4f25bc6081,Досуг и развлечения,organic,10763
186,11ac3146c0,Диваны и кушетки,dafb4d11f4,Товары для дома,direct,4386
187,11ac3146c0,Диваны и кушетки,dafb4d11f4,Товары для дома,organic,10567
188,f8ab146b3f,Усилители и ресиверы,09f279a643,Электроника,direct,4348
189,f8ab146b3f,Усилители и ресиверы,09f279a643,Электроника,organic,10322
190,1012833c0c,Фильтры и умягчители для воды,394f20d8fa,Строительство и ремонт,direct,4248
191,1012833c0c,Фильтры и умягчители для воды,394f20d8fa,Строительство и ремонт,organic,10222
192,89f9de261a,Миксеры,5a0d8ac946,Бытовая техника,direct,4125
193,89f9de261a,Миксеры,5a0d8ac946,Бытовая техника,organic,10160
194,f3852a60ee,Увлажнение и питание,655ccc3c49,Товары для красоты,direct,4107
195,f3852a60ee,Увлажнение и питание,655ccc3c49,Товары для красоты,organic,10048
196,5a1f3fd522,Сковороды и сотейники,dafb4d11f4,Товары для дома,direct,4074
197,5a1f3fd522,Сковороды и сотейники,dafb4d11f4,Товары для дома,organic,9976
198,668bdb61d4,Эпиляторы и женские электробритвы,5a0d8ac946,Бытовая техника,direct,4024
199,668bdb61d4,Эпиляторы и женские электробритвы,5a0d8ac946,Бытовая техника,organic,9909
200,4e2502d570,Игровые наборы и фигурки,7dbac4c1a3,Детские товары,direct,3939
201,4e2502d570,Игровые наборы и фигурки,7dbac4c1a3,Детские товары,organic,9819
202,9153f93ee2,Камины и печи,394f20d8fa,Строительство и ремонт,direct,3929
203,9153f93ee2,Камины и печи,394f20d8fa,Строительство и ремонт,organic,9510
204,4261b73093,Мойки высокого давления,bfd01f6342,"Дача, сад и огород",direct,3907
205,4261b73093,Мойки высокого давления,bfd01f6342,"Дача, сад и огород",organic,9494
206,3472f744e0,Прочее,4f25bc6081,Досуг и развлечения,direct,3877
207,3472f744e0,Прочее,4f25bc6081,Досуг и развлечения,organic,9311
208,b34cc7e9a7,Ирригаторы,5a0d8ac946,Бытовая техника,direct,3864
209,b34cc7e9a7,Ирригаторы,5a0d8ac946,Бытовая техника,organic,9305
210,1bd48fd61a,Музыкальные центры,09f279a643,Электроника,direct,3840
211,1bd48fd61a,Музыкальные центры,09f279a643,Электроника,organic,9284
212,1d7ff4b631,Электро- и бензопилы цепные,394f20d8fa,Строительство и ремонт,direct,3838
213,1d7ff4b631,Электро- и бензопилы цепные,394f20d8fa,Строительство и ремонт,organic,9202
214,aaf1b26543,Электрические зубные щетки,5a0d8ac946,Бытовая техника,direct,3696
215,aaf1b26543,Электрические зубные щетки,5a0d8ac946,Бытовая техника,organic,9163
216,a81f87f9ff,Картриджи,3509869a61,Компьютерная техника,direct,3667
217,a81f87f9ff,Картриджи,3509869a61,Компьютерная техника,organic,9009
218,bc3e993a07,Электробритвы мужские,5a0d8ac946,Бытовая техника,direct,3627
219,bc3e993a07,Электробритвы мужские,5a0d8ac946,Бытовая техника,organic,8888
220,61a7dfbf06,Квадрокоптеры,7dbac4c1a3,Детские товары,direct,3517
221,61a7dfbf06,Квадрокоптеры,7dbac4c1a3,Детские товары,organic,8847
222,adcb56da34,Перфораторы,394f20d8fa,Строительство и ремонт,direct,3506
223,adcb56da34,Перфораторы,394f20d8fa,Строительство и ремонт,organic,8793
224,61e2c0f3f7,Настольные игры,7dbac4c1a3,Детские товары,direct,3505
225,61e2c0f3f7,Настольные игры,7dbac4c1a3,Детские товары,organic,8697
226,7402bf880a,Кухонные мойки,394f20d8fa,Строительство и ремонт,direct,3354
227,7402bf880a,Кухонные мойки,394f20d8fa,Строительство и ремонт,organic,8682
228,856b4f9312,Душевые кабины и уголки,394f20d8fa,Строительство и ремонт,direct,3337
229,856b4f9312,Душевые кабины и уголки,394f20d8fa,Строительство и ремонт,organic,8321
230,350194a5a4,Матрасы,dafb4d11f4,Товары для дома,direct,3309
231,350194a5a4,Матрасы,dafb4d11f4,Товары для дома,organic,8240
232,98030e4cc8,Моноблоки,3509869a61,Компьютерная техника,direct,3301
233,98030e4cc8,Моноблоки,3509869a61,Компьютерная техника,organic,8041
234,e35b6d7bc9,Игрушечное оружие и бластеры,7dbac4c1a3,Детские товары,direct,3280
235,e35b6d7bc9,Игрушечное оружие и бластеры,7dbac4c1a3,Детские товары,organic,7724
236,623baf9df0,Подгузники,7dbac4c1a3,Детские товары,direct,3226
237,623baf9df0,Подгузники,7dbac4c1a3,Детские товары,organic,7634
238,e9a89f4edc,Тонометры,10a493e03b,Товары для здоровья,direct,3217
239,e9a89f4edc,Тонометры,10a493e03b,Товары для здоровья,organic,7561
240,6cbd456430,USB Flash drive,3509869a61,Компьютерная техника,direct,3186
241,6cbd456430,USB Flash drive,3509869a61,Компьютерная техника,organic,7503
242,d98345a880,Кроссовки и кеды,6074ad29ac,"Одежда, обувь и аксессуары",direct,3180
243,d98345a880,Кроссовки и кеды,6074ad29ac,"Одежда, обувь и аксессуары",organic,7482
244,5f910cdaf6,Удилища,ae99947659,Спорт и отдых,direct,3179
245,5f910cdaf6,Удилища,ae99947659,Спорт и отдых,organic,7468
246,fc44a00128,Надувные лодки,ae99947659,Спорт и отдых,direct,3166
247,fc44a00128,Надувные лодки,ae99947659,Спорт и отдых,organic,7436
248,bc1c73086d,Шампуни,655ccc3c49,Товары для красоты,direct,3151
249,bc1c73086d,Шампуни,655ccc3c49,Товары для красоты,organic,7285
250,682963e3ab,Электрогенераторы,394f20d8fa,Строительство и ремонт,direct,3126
251,682963e3ab,Электрогенераторы,394f20d8fa,Строительство и ремонт,organic,7155
252,30b5fff3ae,Цифровые плееры,09f279a643,Электроника,direct,3122
253,30b5fff3ae,Цифровые плееры,09f279a643,Электроника,organic,6913
254,c7659307a4,Корма для кошек,22f134317d,Товары для животных,direct,3108
255,c7659307a4,Корма для кошек,22f134317d,Товары для животных,organic,6883
256,e6a7c2da31,Угловые шлифмашинки (болгарки),394f20d8fa,Строительство и ремонт,direct,3052
257,e6a7c2da31,Угловые шлифмашинки (болгарки),394f20d8fa,Строительство и ремонт,organic,6838
258,8697ba0e56,Обогреватели,5a0d8ac946,Бытовая техника,direct,3047
259,8697ba0e56,Обогреватели,5a0d8ac946,Бытовая техника,organic,6823
260,3c02d41bfd,Комплекты акустики,09f279a643,Электроника,direct,2968
261,3c02d41bfd,Комплекты акустики,09f279a643,Электроника,organic,6757
262,34168672c5,Соковыжималки,5a0d8ac946,Бытовая техника,direct,2959
263,34168672c5,Соковыжималки,5a0d8ac946,Бытовая техника,organic,6751
264,2e28feeeb5,"Раковины, умывальники",394f20d8fa,Строительство и ремонт,direct,2879
265,2e28feeeb5,"Раковины, умывальники",394f20d8fa,Строительство и ремонт,organic,6667
266,2aa1c6cecb,Мягкие игрушки,7dbac4c1a3,Детские товары,direct,2858
267,2aa1c6cecb,Мягкие игрушки,7dbac4c1a3,Детские товары,organic,6605
268,d6c85c7c2d,Моноколеса и гироскутеры,ae99947659,Спорт и отдых,direct,2849
269,d6c85c7c2d,Моноколеса и гироскутеры,ae99947659,Спорт и отдых,organic,6528
270,e3ad7b4ec4,Сумки и рюкзаки,3509869a61,Компьютерная техника,direct,2847
271,e3ad7b4ec4,Сумки и рюкзаки,3509869a61,Компьютерная техника,organic,6455
272,6e8f593bd5,Термосы и термокружки,dafb4d11f4,Товары для дома,direct,2806
273,6e8f593bd5,Термосы и термокружки,dafb4d11f4,Товары для дома,organic,6443
274,2ca4e4cee1,Напольные весы,5a0d8ac946,Бытовая техника,direct,2796
275,2ca4e4cee1,Напольные весы,5a0d8ac946,Бытовая техника,organic,6328
276,7ae79a3fb4,Звуковые карты,3509869a61,Компьютерная техника,direct,2794
277,7ae79a3fb4,Звуковые карты,3509869a61,Компьютерная техника,organic,6034
278,f11d6ffe2d,Роботы и трансформеры,7dbac4c1a3,Детские товары,direct,2790
279,f11d6ffe2d,Роботы и трансформеры,7dbac4c1a3,Детские товары,organic,6024
280,49c1861e38,Сэндвичницы и приборы для выпечки,5a0d8ac946,Бытовая техника,direct,2676
281,49c1861e38,Сэндвичницы и приборы для выпечки,5a0d8ac946,Бытовая техника,organic,6018
282,7fb89564b3,Корма для собак,22f134317d,Товары для животных,direct,2581
283,7fb89564b3,Корма для собак,22f134317d,Товары для животных,organic,6009
284,68dce1416e,Очки виртуальной реальности,09f279a643,Электроника,direct,2573
285,68dce1416e,Очки виртуальной реальности,09f279a643,Электроника,organic,6003
286,f3b2599abc,Морозильники,5a0d8ac946,Бытовая техника,direct,2569
287,f3b2599abc,Морозильники,5a0d8ac946,Бытовая техника,organic,5922
288,1c664a3587,Отпариватели,5a0d8ac946,Бытовая техника,direct,2546
289,1c664a3587,Отпариватели,5a0d8ac946,Бытовая техника,organic,5903
290,3ad7b30cc3,Маршрутизаторы и коммутаторы,3509869a61,Компьютерная техника,direct,2532
291,3ad7b30cc3,Маршрутизаторы и коммутаторы,3509869a61,Компьютерная техника,organic,5850
292,61df5b306c,"Ингаляторы, небулайзеры",10a493e03b,Товары для здоровья,direct,2518
293,61df5b306c,"Ингаляторы, небулайзеры",10a493e03b,Товары для здоровья,organic,5838
294,dd2a6331be,Внешние жесткие диски и SSD,3509869a61,Компьютерная техника,direct,2514
295,dd2a6331be,Внешние жесткие диски и SSD,3509869a61,Компьютерная техника,organic,5785
296,059a2d097e,Бассейны,bfd01f6342,"Дача, сад и огород",direct,2513
297,059a2d097e,Бассейны,bfd01f6342,"Дача, сад и огород",organic,5764
298,4b7ef22925,Стульчики для кормления,7dbac4c1a3,Детские товары,direct,2494
299,4b7ef22925,Стульчики для кормления,7dbac4c1a3,Детские товары,organic,5702
300,02d5e02c2f,Рюкзаки,ae99947659,Спорт и отдых,direct,2491
301,02d5e02c2f,Рюкзаки,ae99947659,Спорт и отдых,organic,5589
302,7cc0d5afba,Радиоприемники,09f279a643,Электроника,direct,2417
303,7cc0d5afba,Радиоприемники,09f279a643,Электроника,organic,5513
304,4081042fbf,Радиаторы,394f20d8fa,Строительство и ремонт,direct,2405
305,4081042fbf,Радиаторы,394f20d8fa,Строительство и ремонт,organic,5425
306,faee76eaa0,Источники бесперебойного питания,3509869a61,Компьютерная техника,direct,2285
307,faee76eaa0,Источники бесперебойного питания,3509869a61,Компьютерная техника,organic,5330
308,e3ea043612,Радар-детекторы,65922fa39c,Авто,direct,2268
309,e3ea043612,Радар-детекторы,65922fa39c,Авто,organic,5194
310,d17e913e6f,Сумки,6074ad29ac,"Одежда, обувь и аксессуары",direct,2255
311,d17e913e6f,Сумки,6074ad29ac,"Одежда, обувь и аксессуары",organic,5162
312,b27ca8fff0,Лодочные моторы,ae99947659,Спорт и отдых,direct,2249
313,b27ca8fff0,Лодочные моторы,ae99947659,Спорт и отдых,organic,5106
314,5cf75898f5,Хлебопечки,5a0d8ac946,Бытовая техника,direct,2246
315,5cf75898f5,Хлебопечки,5a0d8ac946,Бытовая техника,organic,5087
316,306db52ddc,Машинки и техника,7dbac4c1a3,Детские товары,direct,2246
317,306db52ddc,Машинки и техника,7dbac4c1a3,Детские товары,organic,5084
318,391d3772d8,Беговые дорожки,ae99947659,Спорт и отдых,direct,2235
319,391d3772d8,Беговые дорожки,ae99947659,Спорт и отдых,organic,5074
320,c6fdd73d16,Кроватки,7dbac4c1a3,Детские товары,direct,2210
